Name,TN2014,TN2015,TN2016,PCo1,PCo2,PCo3,PCo4,PCo5
hybride_de_rosa_wichurana_H12,NA,NA,NA,-146.3629762121,157.7971304448,-145.1525705017,-14.3504772728,62.4998794639
imperatrice_josephine_E9,3,0,1,155.8534353813,19.5817827791,11.905907034,12.4923348254,18.3858585025
indigo_D3,0,0,0,147.2169452784,60.8868346795,60.7594479987,7.0468062538,9.9129913174
jacques_cartier_blanc_G1,3,1,1,24.4821779237,76.9281095216,25.722664863,2.5313557604,-44.8864220677
janet_s_pride_D2,4,0,0,119.6509157805,94.0184749835,61.1537642494,23.411824654,21.6648796774
jean_bach_sisley_D4,2,0,0,-215.6964793901,-77.1234697827,43.2110608375,120.4710709701,46.5507723632
jeanne_d_arc_G2,3,0,0,-162.9380904758,144.3832897198,-149.5258646586,-13.0750107213,71.691686837
jenny_duval_G8,2,0,0,148.0607440192,76.939186692,72.4964603426,8.8932439778,33.7470153763
jersey_beauty_F1,0,1,0,-136.9171886998,49.7747190462,-48.935049162,120.2522663586,47.5648361131
julie_de_mersan_C7,4,1,0,90.41111067,10.3550955725,69.6460342174,-42.8285039268,4.004817706
la_belle_distinguee_E1,1,0,0,156.5435162969,3.5335622965,2.1013871991,10.6895114347,15.031232612
la_biche_E6,5,1,0,-208.5753525261,-85.62655094,40.3864217423,38.1279182895,36.3677770724
la_caille_A2,1,0,0,32.1787020758,-22.049942237,37.2040099408,-63.3842104852,-3.3512526508
la_favorite_A10,2,5,3,-111.7238318116,-113.5927654069,75.5626990281,54.132082084,20.4799389432
la_france_D7,4,4,3,-94.3456213601,-99.1490246098,55.1748225858,-7.1925090256,5.0340875066
lamotte_sanguin_D12,4,4,4,-33.1266053557,-49.9977446218,65.626980674,-84.9674186462,-8.7619609167
la_noblesse_B2,5,4,4,-8.8784310647,-42.4217728766,46.8731385326,-68.9885086491,7.9019407228
la_reine_D8,NA,NA,NA,-17.169789453,-24.7461643244,53.6528948061,-91.6015735976,6.2627255677
la_sirene_A9,0,0,0,-100.3221990694,78.9163345761,-51.205415769,-61.2979081775,-24.4273028293
lea_F1,4,0,3,127.3220054382,14.9356427899,14.904439068,13.3965028383,-55.0880169281
leda_E6,1,0,0,136.8273361723,28.1326984185,34.4734712565,5.0498877757,-45.0736147607
leuchtstern_G2,1,2,3,-117.068988437,113.0128176235,-103.9781269596,19.5977195581,-108.0968500332
louis_lille_D9,0,0,1,149.0836630741,76.6700934529,71.9894420196,9.5847936987,33.9454973012
marguerite_de_roman_E12,NA,4,0,-28.4425947086,-1.5657778412,45.6647950587,-77.1263857744,-44.795019173
marie_dermar_G5,4,4,2,-43.2870818595,-75.632043109,22.6235633938,-27.8127996258,-45.6066498464
maupertuis_H8,0,0,0,149.7510298604,75.5396806198,76.1983725782,-0.3403486713,19.2942887051
may_queen_D11,3,3,3,-94.1567128939,17.3558786864,-44.4492415799,-6.8334269688,7.9493219745
mercedes_B1,1,3,0,151.2319845993,71.0560699185,64.7683842197,12.438033338,33.4324037901
minette_D8,0,0,0,156.7693283835,-96.3499682925,-83.9435360884,22.099867515,-69.4595307246
miranda_F10,3,4,4,52.9102596492,13.1503514158,20.158795215,-2.5319909491,-30.480567125
mle_cecile_brunner_D12,0,0,0,-164.4839804049,-36.7995398421,23.0085181809,152.8338149759,-101.6292943483
mme_a_meilland_climbing_E1,NA,NA,NA,-130.5839898913,-107.6541906974,84.3612405015,29.1202100272,7.4947179245
mme_antoine_mary_E3,1,0,1,-222.102483791,-113.2859429397,77.186695384,121.1643020395,15.3122117893
mme_de_la_roche_lambert_B7,5,3,3,88.6458291732,62.1202029534,73.4966582305,-10.1100746516,0.7437315404
mme_d_herbray_E4,1,0,0,139.8460428871,89.7308915494,74.8010712574,11.8280335997,29.5604827349
mme_edouard_ory_D9,4,4,3,22.5331417225,35.2664745442,55.2200454646,-50.485152025,-15.7629949004
mme_emilie_charon_E5,2,1,2,-239.1279352565,-138.2075818255,103.5478690581,137.8086752434,67.9783395945
mme_ernest_calvat_F1,NA,NA,NA,-131.0335734958,-134.6367398518,56.6917629176,-38.8361596685,-8.8359359309
mme_e_veyrat_hermanos_G3,1,1,1,-204.8173396568,-89.8854912774,66.7540889335,152.1680248863,17.6368878142
mme_hardy_B11,4,0,0,120.1538104373,50.5518317656,37.82438926,15.4194757663,-42.4111253861
mme_lambard_E8,1,1,1,-234.4290619789,-155.4211406882,119.3654604521,126.296469116,45.9064309998
mme_legras_de_st_germain_E7,0,0,0,132.1885496837,57.2233684271,25.7219559193,27.8369554854,20.6300504014
mme_zoetmans_E12,0,0,0,141.7711278559,74.5100642579,62.973504429,13.0581029365,30.9616331654
monsieur_cordeau_H6,5,4,1,-52.4567009137,-66.1463970141,60.3509362802,-128.0675042889,-14.8349734718
narrow_water_D3,4,4,4,-175.2118836454,71.4809346548,-77.3676938012,-17.8024684289,-156.6899254551
nathalie_H4,4,4,1,-125.1074183575,-41.9337182556,10.6798201931,-18.1578558228,27.1386462655
