Name,year_obtained_Cristiana,year_obtained,CoderemonteeHarmonise3years,codenumremonteeHarmonise3years,codenumremonteeAvg3years,IDJeremyYear1,coderemonteeYear1,codenumremonteeYear1,IDJeremyYear2,coderemonteeYear2,codenumremonteeYear2,IDJeremyYear3,coderemonteeYear3,codenumremonteeYear3,Nb_Clust_A3,Lmax_P_A3,Rat_P_A3,Min_M_A3,DifMax_M_A3,Min_V_A3,Area_Peak_Inflo_A3,Reb_Mag_A3,Max_Peak_A3,Max_Reb_A3,First_Reb_A3,Rat_Peak_A3,First_Flo_A3,Cont_Flo_A3,PCo1,PCo2,PCo3,PCo4,PCo5
crimsom_rambler_B8,1893,1893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-189.6426621457,162.6410869305,-171.3454542059,-53.6488992961,43.6687408462
crimson_globe_B3,1890,1839,NR,1,1,NR127,NR,1,NR179,NR,1,NR176,NR,1,2,-0.0050125418,0.0050251256,6.6300596516,23.0324211748,0.2577926182,4.9343048677,0.0051546392,4.4485442849,0.0766990394,30,0.0172413793,3,0,39.2057881783,0.3672783488,32.5575225043,-39.3846208289,7.4157051178
dawson_H1,1888,1888,NR,1,1,NR20,NR,1,NR28,NR,1,NR26,NR,1,1,0,0,5.0839281077,29,1.8947005199,11.0619808849,0,25.5612538927,0,30,0,1,0,-212.2285950718,125.265249108,-146.5194713021,-69.4039399671,46.7554812418
delille_B12,1852,1852,NA,NA,2,RF36,RF,3,NR218,NR,1,R83,R,2,3,-0.8117736423,1.2518985092,11.4127380257,3.5874188967,0.0821048289,4.5003405464,0.2,6.7505108196,3.3752554098,15,0.5,11,0,35.323782048,10.2659799144,35.0435324929,-6.9734641236,-44.1179982424
desprez_a_fleur_jaune_B10,1835,1835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-182.5912704899,-35.9165891907,18.0110455404,95.2732681005,-99.2552595851
deuil_de_paul_fontaine_B11,1873,1873,RF,3,3,NA,NA,NA,RF70,RF,3,RF95,RF,3,4,-1.0727094679,1.9232893382,7.5040783924,7.4968182456,0.0799707578,1.4200780877,0.7777777778,2.1301171316,4.2602342632,10,2,7,0,18.1825920462,7.1432709499,48.6113940417,-40.5699511005,0.1694781787
dona_sol_A1,1842,1842,NR,1,1,NR169,NR,1,NR241,NR,1,NR251,NR,1,1,0,0,9.5010757111,29,1.2881735883,26.0088964354,0,35.6693436828,0,30,0,7,0,143.2999309006,82.0629079516,75.4988563826,11.1766316796,19.7069379244
duc_d_anjou_B12,1862,1862,NR,1,1,NR5,NR,1,NR7,NR,1,NR39,NR,1,1,0,0,8.4936808451,29,1.9089393044,7.8998932192,0,10.3306295944,0,30,0,5,0,148.9254874487,71.7145938563,65.2930860003,9.8963343635,34.491368741
duc_de_cambridge_B6,1840,1840,NR,1,1,NR18,NR,1,NR23,NR,1,NR183,NR,1,2,-0.0020020027,0.002004008,7.642528914,22.1168864475,0.1769947651,11.3977194655,0.0022172949,9.4980995546,0.0759847964,30,0.008,5,0,35.7367542136,13.1593367627,3.622305498,-56.1758504381,-16.3276297058
duchesse_de_montebello_H7,1824,1824,NR,1,1,NR84,NR,1,NR108,NR,1,NR100,NR,1,1,0,0,7.8158667682,29,0.771923325,16.4864920597,0,21.0660731873,0,30,0,6,0,144.3417450089,81.3625768157,74.2006387942,9.4075953313,32.3010274457
