INDEX	ID	Name_corCOP	date_corCOP	periode_corCOP	periode_corCOP_2decades	classification_corCOP	mean_petals_binary_less10	mean_petals_binary_more25	mean_petals	CoderemonteeHarmonise3years	codenumremonteeHarmonise3years	codenumremonteeAvg3years	IDJeremyYear1	coderemonteeYear1	codenumremonteeYear1	IDJeremyYear2	coderemonteeYear2	codenumremonteeYear2	IDJeremyYear3	coderemonteeYear3	codenumremonteeYear3	2phenylethanol	geraniol	35dimethoxytoluene	EEfarnesol	2phenylethanol_binary10	geraniol_binary10	35dimethoxytoluene_binary0p1	2phenylethanol_binary100	geraniol_binary50	35dimethoxytoluene_binary0p1	TN2014	TN2015	TN2016	PCo1	PCo2	PCo3	PCo4	PCo5	Name2	Nb_acicules_branch_binaryTatiana	Nb_prickles_branch_binaryTatiana	uper_leaf_shine_binaryTatiana	Plant_Type_BuissonnantOuAutre	Plant_Type_ArbustifOuAutre	Shape2014_CylindriqueOuNon	Shape2014_ConiqueOuNon	Shape2014_SpheriqueOuNon	shape_corolla_FlatOrNot	shape_corolla_EnCoupeOuPas	shape_corolla_GlobuleuseOuPas	shape_corolla_AquartiersOuPas	shape_corolla_ImbriqueeOuPas	color_distribution_UnicolorOrNot	main_petal_color_redpinkpurple_vs_other	main_petal_color_white_vs_other	main_petal_color_rose_vs_other	main_petal_color_purple_vs_other	Shape_2012	Shape_2013	Shape_2014	Shape_across_year	Plant_Type	Nb_acicules_branch	Nb_prickles_branch	uper_leaf_shine	shape_corolla	size_corolla	nb_flowers_per_inflorescence	color_distribution	unicolor_yesorno	main_petal_color	PCo1_2	PCo2_2	PCo3_2	PCo4_2	PCo5_2
20	bijou_des_amateurs_A8	bijou_des_amateurs	1837	[1830-1839]	[1830-1849]	Hgal	0	1	92	NR	1	1	NR8	NR	1	NR11	NR	1	NR5	NR	1	491.92	116.73	0	3.86	1	1	0	1	1	1	4	0	0	147.3416965	84.02596197	78.47719166	7.591117314	33.41085384	bijou_des_amateurs_A8	1	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	5	5	5	2	11	5	3	unicolor	1	pink	147.3416965	84.02596197	78.47719166	7.591117314	33.41085384
38	comtesse_de_murinais_E10	comtesse_de_murinais	1843	[1840-1849]	[1830-1849]	M	0	1	66.2	NR	1	1	NA	NA	NA	NR111	NR	1	NR102	NR	1	1194.35	156.34	0	13.45	1	1	0	1	1	1	1	0	1	145.3383323	-15.74866689	-1.354935069	5.325632569	-46.95938899	comtesse_de_murinais_E10	1	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0	1	0	NA	2	2	2	5	7	7	2	11	3	3	unicolor	1	pink	145.3383323	-15.74866689	-1.354935069	5.325632569	-46.95938899
49	dona_sol_A1	dona_sol	1842	[1840-1849]	[1830-1849]	Hgal	0	1	54.2	NR	1	1	NR169	NR	1	NR241	NR	1	NR251	NR	1	307.447	144.64	0	0.52	1	1	0	1	1	1	0	1	0	143.2999309	82.06290795	75.49885638	11.17663168	19.70693792	dona_sol_A1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	1	0	1	0	2	2	2	2	5	7	3	2	3	3	3	unicolor	1	pink	143.2999309	82.06290795	75.49885638	11.17663168	19.70693792
82	indigo_D3	indigo	1845	[1840-1849]	[1830-1849]	P	0	1	81.8	R	2	2.33	RF49	RF	3	R85	R	2	R105	R	2	322.426	18.14	0	1.4	1	1	0	1	0	1	0	0	0	147.2169453	60.88683468	60.759448	7.046806254	9.912991317	indigo_D3	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	2	2	3	NA	5	7	3	2	11	3	3	unicolor	1	purple	147.2169453	60.88683468	60.759448	7.046806254	9.912991317
87	jenny_duval_G8	jenny_duval	1842	[1840-1849]	[1830-1849]	Hgal	0	1	50	NR	1	1	NR76	NR	1	NR98	NR	1	NR92	NR	1	183.623	71.1633	0	11.39	1	1	0	1	1	1	2	0	0	148.060744	76.93918669	72.49646034	8.893243978	33.74701538	jenny_duval_G8	0	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	0	3	1	3	NA	5	3	5	2	11	5	3	unicolor	1	pink	148.060744	76.93918669	72.49646034	8.893243978	33.74701538
119	mme_hardy_B11	mme_hardy	1832	[1830-1839]	[1830-1849]	D	0	1	97	NR	1	1	NR46	NR	1	NR63	NR	1	NR64	NR	1	564.877	21.9133	0	1.34667	1	1	0	1	0	1	4	0	0	120.1538104	50.55183177	37.82438926	15.41947577	-42.41112539	mme_hardy_B11	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	2	2	2	2	5	5	3	2	11	3	3	unicolor	1	white	120.1538104	50.55183177	37.82438926	15.41947577	-42.41112539
121	mme_legras_de_st_germain_E7	mme_legras_de_st_germain	1846	[1840-1849]	[1830-1849]	A	0	1	93.8	NR	1	1	NR56	NR	1	NR74	NR	1	NR71	NR	1	170.72	97.94	0	1.76667	1	1	0	1	1	1	0	0	0	132.1885497	57.22336843	25.72195592	27.83695549	20.6300504	mme_legras_de_st_germain_E7	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	3	3	3	3	5	3	1	2	11	5	3	unicolor	1	white	132.1885497	57.22336843	25.72195592	27.83695549	20.6300504
122	mme_zoetmans_E12	mme_zoetmans	unknown	[1840-1849]	[1830-1849]	D	NA	NA	NA	NR	1	1	NR134	NR	1	NR193	NR	1	NR192	NR	1	349.743	158.7	0	0.81	1	1	0	1	1	1	0	0	0	141.7711279	74.51006426	62.97350443	13.05810294	30.96163317	mme_zoetmans_E12	1	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	1	0	2	2	2	2	5	5	3	2	11	3	5	unicolor	1	pink	141.7711279	74.51006426	62.97350443	13.05810294	30.96163317
125	nathalie_H4	nathalie	1835	[1830-1839]	[1830-1849]	N	0	1	28	RF	3	2.66	RF33	RF	3	R63	R	2	RF77	RF	3	0	0	0	0	0	0	0	0	0	0	4	4	1	-125.1074184	-41.93371826	10.67982019	-18.15785582	27.13864627	nathalie_H4	NA	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	1	0	2	2	2	2	5	NA	3	4	3	5	3	unicolor	1	pink	-125.1074184	-41.93371826	10.67982019	-18.15785582	27.13864627
132	pergolese_A5	pergolese	1840	[1840-1849]	[1830-1849]	NA	0	1	84.4	NR	1	1	NR141	NR	1	NR204	NR	1	NR206	NR	1	397.073	104.687	0	0.353333	1	1	0	1	1	1	1	0	0	144.0062179	75.44924327	70.61658493	12.99889455	16.6750155	pergolese_A5	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	0	3	3	3	3	5	3	3	2	9	5	3	unicolor	1	pink	144.0062179	75.44924327	70.61658493	12.99889455	16.6750155
